embedding_index,embedding_name,importancia,ranking
60,embedding_60,0.0005395711625835941,345
1010,embedding_1010,0.0005380256445441963,346
547,embedding_547,0.0005327803424628061,347
248,embedding_248,0.0005313542657844269,348
71,embedding_71,0.0005272400837504397,349
65,embedding_65,0.0005261523058763784,350
1097,embedding_1097,0.0005240001546810871,351
873,embedding_873,0.0005221101538968011,352
1188,embedding_1188,0.0005178446277325605,353
867,embedding_867,0.0005136797815645853,354
325,embedding_325,0.0005031719864564532,355
741,embedding_741,0.0005023013934777533,356
1222,embedding_1222,0.0005006037331659448,357
1112,embedding_1112,0.0005005112529802458,358
814,embedding_814,0.0004969142713700958,359
783,embedding_783,0.0004954583304980133,360
902,embedding_902,0.0004950870342351601,361
1143,embedding_1143,0.0004940267196947292,362
360,embedding_360,0.0004938732775077137,363
1125,embedding_1125,0.0004927223507346325,364
923,embedding_923,0.0004921015858278787,365
577,embedding_577,0.0004918348605753013,366
290,embedding_290,0.0004902738935839446,367
1210,embedding_1210,0.0004892839384797856,368
338,embedding_338,0.0004877690571255815,369
964,embedding_964,0.0004869715806172926,370
280,embedding_280,0.00048556723183595376,371
1030,embedding_1030,0.00047890375710520105,372
828,embedding_828,0.0004781144619578368,373
779,embedding_779,0.00047572703401412773,374
967,embedding_967,0.000474930468998921,375
412,embedding_412,0.00047432286823538214,376
335,embedding_335,0.0004717369392619972,377
1266,embedding_1266,0.0004709562028602748,378
628,embedding_628,0.0004702260951350439,379
922,embedding_922,0.00046945644873546446,380
186,embedding_186,0.0004650057509941072,381
671,embedding_671,0.00046475958784157877,382
66,embedding_66,0.00046474454271151967,383
436,embedding_436,0.00046392687712641374,384
292,embedding_292,0.0004626574413969678,385
179,embedding_179,0.0004621728174258736,386
1001,embedding_1001,0.0004617445419277312,387
26,embedding_26,0.0004609745832195531,388
946,embedding_946,0.0004602815849710076,389
1148,embedding_1148,0.0004599305711732655,390
715,embedding_715,0.00045725428096507085,391
727,embedding_727,0.0004570077572118167,392
930,embedding_930,0.0004530579176886283,393
87,embedding_87,0.00045045641073518367,394
877,embedding_877,0.00044962975628193866,395
73,embedding_73,0.0004483466840522471,396
607,embedding_607,0.00044758476433050953,397
905,embedding_905,0.0004462974755995998,398
770,embedding_770,0.0004459543818375181,399
1174,embedding_1174,0.00044471457794812835,400
246,embedding_246,0.00044206730286596303,401
